date,okx_valuation_usd,okx_quote_volume_usd,bitget_valuation_usd,bitget_quote_volume_usd,binance_valuation_usd,binance_quote_volume_usd,available_venues,daily_close_median_usd,cross_venue_spread_bps,aggregate_quote_volume_usd,median_daily_return
2026-05-07,1289400000000.00000000,4493516.33900000,,,,,1,1289400000000.00000000,0.00000000,4493516.33900000,
2026-05-08,1539800000000.00000000,5633970.07600000,,,,,1,1539800000000.00000000,0.00000000,5633970.07600000,0.19419885
2026-05-09,1555600000000.00000000,8898455.35100000,,,,,1,1555600000000.00000000,0.00000000,8898455.35100000,0.01026107
2026-05-10,1661200000000.00000000,6191054.08900000,,,,,1,1661200000000.00000000,0.00000000,6191054.08900000,0.06788377
2026-05-11,1582900000000.00000000,2938603.06900000,,,,,1,1582900000000.00000000,0.00000000,2938603.06900000,-0.04713460
2026-05-12,1441900000000.00000000,2865400.27500000,,,,,1,1441900000000.00000000,0.00000000,2865400.27500000,-0.08907701
2026-05-13,1570100000000.00000000,2499874.55200000,,,,,1,1570100000000.00000000,0.00000000,2499874.55200000,0.08891047
2026-05-14,1542500000000.00000000,1282886.52600000,,,,,1,1542500000000.00000000,0.00000000,1282886.52600000,-0.01757850
2026-05-15,1536500000000.00000000,778571.21300000,,,,,1,1536500000000.00000000,0.00000000,778571.21300000,-0.00388979
2026-05-16,1548400000000.00000000,725497.49600000,,,,,1,1548400000000.00000000,0.00000000,725497.49600000,0.00774487
2026-05-17,1542300000000.00000000,622052.91100000,,,,,1,1542300000000.00000000,0.00000000,622052.91100000,-0.00393955
2026-05-18,1605600000000.00000000,2856193.83600000,,,,,1,1605600000000.00000000,0.00000000,2856193.83600000,0.04104260
2026-05-19,1592600000000.00000000,1039898.76400000,,,,,1,1592600000000.00000000,0.00000000,1039898.76400000,-0.00809666
2026-05-20,1638000000000.00000000,2191286.13700000,,,,,1,1638000000000.00000000,0.00000000,2191286.13700000,0.02850684
2026-05-21,1700000000000.00000000,15736227.10800000,,,,,1,1700000000000.00000000,0.00000000,15736227.10800000,0.03785104
2026-05-22,1775300000000.00000000,12699748.19700000,,,,,1,1775300000000.00000000,0.00000000,12699748.19700000,0.04429412
2026-05-23,1798100000000.00000000,1079233.97100000,,,,,1,1798100000000.00000000,0.00000000,1079233.97100000,0.01284290
2026-05-24,1875100000000.00000000,1970507.82000000,,,,,1,1875100000000.00000000,0.00000000,1970507.82000000,0.04282298
2026-05-25,1769300000000.00000000,1813116.91600000,,,,,1,1769300000000.00000000,0.00000000,1813116.91600000,-0.05642366
2026-05-26,1748800000000.00000000,2092733.09600000,,,,,1,1748800000000.00000000,0.00000000,2092733.09600000,-0.01158650
2026-05-27,1721500000000.00000000,1103649.81400000,,,,,1,1721500000000.00000000,0.00000000,1103649.81400000,-0.01561070
2026-05-28,1780600000000.00000000,1645443.69300000,,,,,1,1780600000000.00000000,0.00000000,1645443.69300000,0.03433053
2026-05-29,1744800000000.00000000,800818.47400000,,,,,1,1744800000000.00000000,0.00000000,800818.47400000,-0.02010558
2026-05-30,1786000000000.00000000,434298.97600000,,,,,1,1786000000000.00000000,0.00000000,434298.97600000,0.02361302
2026-05-31,1822900000000.00000000,928970.78400000,,,,,1,1822900000000.00000000,0.00000000,928970.78400000,0.02066069
2026-06-01,1858700000000.00000000,864589.98800000,,,,,1,1858700000000.00000000,0.00000000,864589.98800000,0.01963904
2026-06-02,1809700000000.00000000,6317760.26200000,1788560000000.00000000,2631568.29420000,1756550000000.00000000,21438141.41060000,3,1788560000000.00000000,302.58176539,30387469.96680000,-0.03773605
2026-06-03,1821900000000.00000000,4279958.93100000,1800730000000.00000000,5471849.28570000,1790280000000.00000000,27078732.74650000,3,1800730000000.00000000,176.62041692,36830540.96320000,0.00680436
2026-06-04,1739100000000.00000000,2877430.17000000,1714450000000.00000000,4406520.93580000,1700630000000.00000000,17319121.67750000,3,1714450000000.00000000,226.21028678,24603072.78330000,-0.04791390
2026-06-05,1708800000000.00000000,2636400.28100000,1698070000000.00000000,2491094.99410000,1684390000000.00000000,11900839.51180000,3,1698070000000.00000000,144.91893208,17028334.78690000,-0.00955408
2026-06-06,1700500000000.00000000,1554379.60800000,1677220000000.00000000,1238403.07530000,1666970000000.00000000,4720714.99430000,3,1677220000000.00000000,201.14339190,7513497.67760000,-0.01227865
2026-06-07,1763100000000.00000000,923258.63300000,1733450000000.00000000,668618.45690000,1729080000000.00000000,3268022.80320000,3,1733450000000.00000000,196.75202998,4859899.89310000,0.03352572
2026-06-08,1738200000000.00000000,1328882.10100000,1726320000000.00000000,827194.00170000,1719500000000.00000000,6610293.98810000,3,1726320000000.00000000,108.75254434,8766370.09080000,-0.00411318
2026-06-09,1736100000000.00000000,1323632.16700000,1728800000000.00000000,1181789.65730000,1721750000000.00000000,7450228.33180000,3,1728800000000.00000000,83.34543343,9955650.15610000,0.00143658
2026-06-10,1719600000000.00000000,1466972.34300000,1702580000000.00000000,664869.20850000,1693680000000.00000000,4417074.31210000,3,1702580000000.00000000,153.03953521,6548915.86360000,-0.01516659
2026-06-11,1715200000000.00000000,1891231.76100000,1695280000000.00000000,1359142.25180000,1686200000000.00000000,5864886.85240000,3,1695280000000.00000000,171.98434349,9115260.86520000,-0.00428761
2026-06-12,1716100000000.00000000,1113894.08000000,1697710000000.00000000,839358.55590000,1690200000000.00000000,3488646.24930000,3,1697710000000.00000000,153.23630340,5441898.88520000,0.00143339
2026-06-13,1695300000000.00000000,1388995.19200000,1679140000000.00000000,1746785.57400000,1663800000000.00000000,6562116.88010000,3,1679140000000.00000000,189.32564010,9697897.64610000,-0.01093826
2026-06-14,1712800000000.00000000,654659.74600000,1689710000000.00000000,657373.23100000,1672100000000.00000000,3011360.36650000,3,1689710000000.00000000,243.40649483,4323393.34350000,0.00629489
2026-06-15,1736500000000.00000000,1163217.82500000,1706120000000.00000000,437184.43120000,1689000000000.00000000,2760950.96090000,3,1706120000000.00000000,281.23149793,4361353.21710000,0.00971173
2026-06-16,1783500000000.00000000,3587703.44100000,1743470000000.00000000,1078387.02050000,1712450000000.00000000,8119630.80900000,3,1743470000000.00000000,414.90262489,12785721.27050000,0.02189178
2026-06-17,1798090000000.00000000,1208501.58837000,1745200000000.00000000,547198.99520000,1715620000000.00000000,3263731.35360000,3,1745200000000.00000000,480.70085450,5019431.93717000,0.00099227
2026-06-18,1797020000000.00000000,743204.60451000,1751390000000.00000000,165522.56260000,1718500000000.00000000,1802677.65050000,3,1751390000000.00000000,456.91009601,2711404.81761000,0.00354687
2026-06-19,1784590000000.00000000,1086044.62927000,1764200000000.00000000,368317.84930000,1715620000000.00000000,1713798.66350000,3,1764200000000.00000000,402.01210058,3168161.14207000,0.00731419
2026-06-20,1792490000000.00000000,613071.59525000,1766960000000.00000000,207322.32170000,1726070000000.00000000,872576.09810000,3,1766960000000.00000000,384.80478775,1692970.01505000,0.00156445
2026-06-21,1771380000000.00000000,684036.67397000,1753360000000.00000000,135373.72670000,1708010000000.00000000,824347.22010000,3,1753360000000.00000000,371.01656313,1643757.62077000,-0.00769684
2026-06-22,1687400000000.00000000,1807400.60444000,1681530000000.00000000,713477.40900000,1640760000000.00000000,7724095.33850000,3,1681530000000.00000000,284.25851435,10244973.35194000,-0.04096706
2026-06-23,1695450000000.00000000,2507051.05364000,1686390000000.00000000,1858633.09740000,1640000000000.00000000,8242279.06790000,3,1686390000000.00000000,338.10975610,12607963.21894000,0.00289022
2026-06-24,1687330000000.00000000,1543913.43774000,1678030000000.00000000,1761661.83240000,1636600000000.00000000,4403262.38100000,3,1678030000000.00000000,309.97189295,7708837.65114000,-0.00495733
2026-06-25,1726700000000.00000000,901904.30189000,1713480000000.00000000,1517007.67100000,1670350000000.00000000,3726529.84080000,3,1713480000000.00000000,337.35444667,6145441.81369000,0.02112596
2026-06-26,1709170000000.00000000,510835.30551000,1699460000000.00000000,484356.21600000,1655620000000.00000000,1145552.46980000,3,1699460000000.00000000,323.44378541,2140743.99131000,-0.00818218
2026-06-27,1709050000000.00000000,189993.27522000,1695570000000.00000000,122923.87510000,1653010000000.00000000,318981.31260000,3,1695570000000.00000000,339.01791278,631898.46292000,-0.00228896
2026-06-28,1704890000000.00000000,213994.87667000,1692360000000.00000000,183022.85140000,1645230000000.00000000,481564.61290000,3,1692360000000.00000000,362.62407080,878582.34097000,-0.00189317
2026-06-29,1719760000000.00000000,450709.76246000,1692180000000.00000000,306868.73110000,1649020000000.00000000,1343295.08540000,3,1692180000000.00000000,428.98206207,2100873.57896000,-0.00010636
